[VAMS][2018-04-25 10:44:18,307] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 10:49:33,642] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 10:49:42,360] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(49)
[VAMS][2018-04-25 10:49:45,369] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:49:45,370] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:49:48,371] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:49:48,372] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:49:51,374] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:49:51,375] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:49:54,376] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:49:54,377] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:49:57,378] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:49:57,379] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:00,380] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:00,381] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:03,382] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:03,383] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:06,384] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:06,385] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:09,387] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:09,387] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:12,387] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:12,388] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:15,389] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:15,390] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:18,390] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:18,391] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:21,391] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:21,392] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 10:50:24,393] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 10:50:24,394] INFO | 重连服务器登录失败,3秒再连接一次    The connector has been disposed. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 11:01:55,431] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:02:15,736] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:02:15,740] INFO | sessionClosed !!! | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:04:48,707] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:04:53,754] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(84)
[VAMS][2018-04-25 11:05:13,771] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:05:13,773] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:05:13,774] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:05:23,776] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:05:53,786] WARN | A keep-alive response message was not received within 30 second(s). | [NioProcessor-2] org.apache.mina.filter.keepalive.KeepAliveRequestTimeoutHandler$2.keepAliveRequestTimedOut(49)
[VAMS][2018-04-25 11:05:53,788] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:05:54,789] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:05:54,790] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:05:54,792] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:06:13,664] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:06:13,675] INFO | sessionClosed !!! | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:06:23,474] INFO | 初始化失败...... | [main] com.huir.mina.customservice.CustomMinaService.main(39)
[VAMS][2018-04-25 11:06:33,290] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(84)
[VAMS][2018-04-25 11:06:33,303] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53187 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(89)
[VAMS][2018-04-25 11:06:53,308] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:06:53,310] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:06:53,311] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:06:56,160] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-3] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:06:56,160] INFO | sessionClosed !!! | [NioProcessor-3] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:07:01,388] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(84)
[VAMS][2018-04-25 11:07:01,401] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53210 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(90)
[VAMS][2018-04-25 11:07:15,992] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-4] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:07:15,992] INFO | sessionClosed !!! | [NioProcessor-4] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:07:22,863] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:07:26,060] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(84)
[VAMS][2018-04-25 11:07:26,074] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53254 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(90)
[VAMS][2018-04-25 11:07:46,078] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:07:46,080] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:07:46,081] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:07:56,084] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:08:04,623] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(54)
[VAMS][2018-04-25 11:08:07,625] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:08:08,630] INFO | 重连服务器登录失败,3秒再连接一次    Failed to get the session. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 11:08:11,631] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:08:12,654] INFO | 重连服务器登录失败,3秒再连接一次    Failed to get the session. | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(68)
[VAMS][2018-04-25 11:08:13,436] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:08:15,655] INFO | 开始重连服务器 | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(58)
[VAMS][2018-04-25 11:08:15,659] INFO | 重连成功!!   ip [/127.0.0.1]  host[7485] | [NioProcessor-2] com.huir.mina.customtelnet.CustomMinaTelnet$1.sessionDestroyed(64)
[VAMS][2018-04-25 11:08:35,660] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:08:35,661] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:08:35,663] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:08:45,664] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:09:15,671] WARN | A keep-alive response message was not received within 30 second(s). | [NioProcessor-3] org.apache.mina.filter.keepalive.KeepAliveRequestTimeoutHandler$2.keepAliveRequestTimedOut(49)
[VAMS][2018-04-25 11:09:15,672] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:09:16,673] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:09:16,674] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:09:16,675] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:09:45,679] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:10:15,682] WARN | A keep-alive response message was not received within 30 second(s). | [NioProcessor-3] org.apache.mina.filter.keepalive.KeepAliveRequestTimeoutHandler$2.keepAliveRequestTimedOut(49)
[VAMS][2018-04-25 11:10:15,683] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:10:16,683] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:10:16,684] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:10:16,685] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:10:45,687] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:11:15,690] WARN | A keep-alive response message was not received within 30 second(s). | [NioProcessor-3] org.apache.mina.filter.keepalive.KeepAliveRequestTimeoutHandler$2.keepAliveRequestTimedOut(49)
[VAMS][2018-04-25 11:11:15,691] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:11:16,692] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:11:16,693] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:11:16,694] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:11:45,697] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:12:15,699] WARN | A keep-alive response message was not received within 30 second(s). | [NioProcessor-3] org.apache.mina.filter.keepalive.KeepAliveRequestTimeoutHandler$2.keepAliveRequestTimedOut(49)
[VAMS][2018-04-25 11:12:15,700] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:12:16,701] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:12:16,702] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:12:16,704] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-3] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:12:45,378] INFO | 初始化失败...... | [main] com.huir.mina.customservice.CustomMinaService.main(39)
[VAMS][2018-04-25 11:12:45,707] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-3] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:12:50,281] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:12:50,292] INFO | sessionClosed !!! | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:12:59,382] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:13:03,137] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(139)
[VAMS][2018-04-25 11:13:03,148] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53382 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(145)
[VAMS][2018-04-25 11:13:23,153] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:13:23,155] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:13:23,156] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:13:23,160] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-12] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:13:23,161] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-12] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:13:23,163] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-12] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:13:33,158] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:13:33,165] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-12] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:13:44,865] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:13:44,865] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-3] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:13:44,878] INFO | sessionClosed !!! | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:13:44,879] INFO | sessionClosed !!! | [NioProcessor-3] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:13:51,185] INFO | 开始连接服务器...... | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(139)
[VAMS][2018-04-25 11:13:51,198] INFO | session (0x00000001: nio socket, client, /127.0.0.1:53428 => /127.0.0.1:7485) | [main] com.huir.mina.customtelnet.CustomMinaTelnet.connection(145)
[VAMS][2018-04-25 11:14:11,202] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:14:11,204] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:14:11,205] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:14:11,210] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-12] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:14:11,212] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-12] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:14:11,213] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-12] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:14:21,207] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:14:21,215] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-12] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:14:22,350] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-4] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:14:22,350] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-5] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:14:22,351] INFO | sessionClosed !!! | [NioProcessor-4] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:14:22,352] INFO | sessionClosed !!! | [NioProcessor-5] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:14:45,190] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:14:45,195] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:14:45,196] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 11:14:55,198] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
[VAMS][2018-04-25 11:15:12,888] INFO | 捕获异常:远程主机强迫关闭了一个现有的连接.... | [NioProcessor-6] com.huir.mina.customservice.CustomServiceHandler.exceptionCaught(17)
[VAMS][2018-04-25 11:15:12,889] INFO | sessionClosed !!! | [NioProcessor-6] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 11:15:20,681] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 11:15:44,467] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 11:15:44,477] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(64)
